"_id","Fiscal_Year","Budget_Type","Organization_Entity","Command_Name","Pillar_Name","District_Name","Unit_Name","Feature_Category","Cost_Element","Cost_Element_Long_Name","Amount"
772,"2021","Approved Budget","1 - Toronto Police Service","Communities & Neighbourhoods Command","West Field Command","District-D11,D22","Division 22","Services","4811","WIRELESS TELECOMMUNICATIONS SERVICES",4200
773,"2021","Approved Budget","1 - Toronto Police Service","Communities & Neighbourhoods Command","West Field Command","District-D11,D22","Division 22","Services","4815","COURIER SERVICES",100
774,"2021","Approved Budget","1 - Toronto Police Service","Communities & Neighbourhoods Command","West Field Command","District-D11,D22","Division 22","Services","4970","SERVICES AND RENTS - GENERAL",200
775,"2021","Approved Budget","1 - Toronto Police Service","Communities & Neighbourhoods Command","West Field Command","District-D12,D23,D31","Division 12","Benefits","1744","EMPLOYMENT INSURANCE - UNIFORM",196900
776,"2021","Approved Budget","1 - Toronto Police Service","Communities & Neighbourhoods Command","West Field Command","District-D12,D23,D31","Division 12","Benefits","1746","EMPLOYMENT INSURANCE - CIVILIAN",25300
777,"2021","Approved Budget","1 - Toronto Police Service","Communities & Neighbourhoods Command","West Field Command","District-D12,D23,D31","Division 12","Benefits","1764","CANADA PENSION PLAN - UNIFORM",572800
778,"2021","Approved Budget","1 - Toronto Police Service","Communities & Neighbourhoods Command","West Field Command","District-D12,D23,D31","Division 12","Benefits","1765","CANADA PENSION PLAN - CIVILIAN",73600
779,"2021","Approved Budget","1 - Toronto Police Service","Communities & Neighbourhoods Command","West Field Command","District-D12,D23,D31","Division 12","Benefits","1773","OMERS POLICE - UNIFORM",2309900
780,"2021","Approved Budget","1 - Toronto Police Service","Corporate Support Command","Corporate Support Command","Corporate Support Command","Corporate Support Command","Salaries","1502","REGULAR SALARIES CIVILIAN SENIOR OFFICER",101700
781,"2021","Approved Budget","1 - Toronto Police Service","Communities & Neighbourhoods Command","West Field Command","District-D12,D23,D31","Division 12","Benefits","1776","OMERS CIVILIAN - CIVILIAN",180000
782,"2021","Approved Budget","1 - Toronto Police Service","Communities & Neighbourhoods Command","West Field Command","District-D12,D23,D31","Division 12","Materials & Supplies","2010","STATIONERY AND OFFICE SUPPLIES",23100
783,"2021","Approved Budget","1 - Toronto Police Service","Communities & Neighbourhoods Command","West Field Command","District-D12,D23,D31","Division 12","Materials & Supplies","2020","BOOK & MAGAZINE SUBSCRIPTIONS",400
784,"2021","Approved Budget","1 - Toronto Police Service","Communities & Neighbourhoods Command","West Field Command","District-D12,D23,D31","Division 12","Materials & Supplies","2080","PHOTOGRAPHIC AND VIDEO SUPPLIES",1500
785,"2021","Approved Budget","1 - Toronto Police Service","Communities & Neighbourhoods Command","West Field Command","District-D12,D23,D31","Division 12","Materials & Supplies","2082","HEALTH & SAFETY SUPPLIES",100
786,"2021","Approved Budget","1 - Toronto Police Service","Communities & Neighbourhoods Command","West Field Command","District-D12,D23,D31","Division 12","Materials & Supplies","2083","FINGERPRINT SUPPLIES",500
787,"2021","Approved Budget","1 - Toronto Police Service","Communities & Neighbourhoods Command","West Field Command","District-D12,D23,D31","Division 12","Materials & Supplies","2999","MISCELLANEOUS MATERIALS & SUPPLIES",200
788,"2021","Approved Budget","1 - Toronto Police Service","Communities & Neighbourhoods Command","West Field Command","District-D12,D23,D31","Division 12","Premium Pay","1584","CIVILIAN LIEU TIME CASH PAYMENT",3500
789,"2021","Approved Budget","1 - Toronto Police Service","Communities & Neighbourhoods Command","West Field Command","District-D12,D23,D31","Division 12","Salaries","1504","REGULAR SALARIES UNIFORM",19257900
790,"2021","Approved Budget","1 - Toronto Police Service","Communities & Neighbourhoods Command","West Field Command","District-D12,D23,D31","Division 12","Salaries","1505","REGULAR SALARIES CIVILIAN A",217100
791,"2021","Approved Budget","1 - Toronto Police Service","Communities & Neighbourhoods Command","West Field Command","District-D12,D23,D31","Division 12","Salaries","1507","REGULAR SALARIES CIVILIAN C",1564200
792,"2021","Approved Budget","1 - Toronto Police Service","Communities & Neighbourhoods Command","West Field Command","District-D12,D23,D31","Division 12","Salaries","1533","ALTERNATE RATE UNIFORM",34500
793,"2021","Approved Budget","1 - Toronto Police Service","Communities & Neighbourhoods Command","West Field Command","District-D12,D23,D31","Division 12","Salaries","1534","ALTERNATE RATE CIVILIAN A",12100
794,"2021","Approved Budget","1 - Toronto Police Service","Communities & Neighbourhoods Command","West Field Command","District-D12,D23,D31","Division 12","Salaries","1538","ALTERNATE RATE OTHER CONTRACTS",100
795,"2021","Approved Budget","1 - Toronto Police Service","Communities & Neighbourhoods Command","West Field Command","District-D12,D23,D31","Division 12","Salaries","1541","STATUTORY HOLIDAY UNIFORM",38300
796,"2021","Approved Budget","1 - Toronto Police Service","Communities & Neighbourhoods Command","West Field Command","District-D12,D23,D31","Division 12","Salaries","1551","SHIFT BONUS UNIFORM",72100
797,"2021","Approved Budget","1 - Toronto Police Service","Communities & Neighbourhoods Command","West Field Command","District-D12,D23,D31","Division 12","Salaries","1552","SHIFT BONUS CIVILIAN A",100
798,"2021","Approved Budget","1 - Toronto Police Service","Communities & Neighbourhoods Command","West Field Command","District-D12,D23,D31","Division 12","Salaries","1554","SHIFT BONUS CIVILIAN C",5900
799,"2021","Approved Budget","1 - Toronto Police Service","Communities & Neighbourhoods Command","West Field Command","District-D12,D23,D31","Division 12","Salaries","1556","SHIFT BONUS OTHER CONTRACTS",100
800,"2021","Approved Budget","1 - Toronto Police Service","Communities & Neighbourhoods Command","West Field Command","District-D12,D23,D31","Division 12","Services","4083","PARKING ENFORCEMENT UNIT  -TOWING CHRG",100
801,"2021","Approved Budget","1 - Toronto Police Service","Communities & Neighbourhoods Command","West Field Command","District-D12,D23,D31","Division 12","Services","4084","PUBLIC RELATIONS/PROMOTIONS",1400
802,"2021","Approved Budget","1 - Toronto Police Service","Communities & Neighbourhoods Command","West Field Command","District-D12,D23,D31","Division 12","Services","4086","TECH SERV -TRANSLATIONS & INTERPRETERS",400
803,"2021","Approved Budget","1 - Toronto Police Service","Communities & Neighbourhoods Command","West Field Command","District-D12,D23,D31","Division 12","Services","4140","PRISONERS- MEALS",2800
804,"2021","Approved Budget","1 - Toronto Police Service","Communities & Neighbourhoods Command","West Field Command","District-D12,D23,D31","Division 12","Services","4144","INVESTIGATIVE EXPENSE",300
805,"2021","Approved Budget","1 - Toronto Police Service","Communities & Neighbourhoods Command","West Field Command","District-D12,D23,D31","Division 12","Services","4255","CONFERENCES/SEMINARS - OTHER EXPENSES",1900
806,"2021","Approved Budget","1 - Toronto Police Service","Corporate Support Command","Corporate Support Command","Corporate Support Command","Corporate Support Command","Materials & Supplies","2020","BOOK & MAGAZINE SUBSCRIPTIONS",100
807,"2021","Approved Budget","1 - Toronto Police Service","Corporate Support Command","Corporate Support Command","Corporate Support Command","Corporate Support Command","Services","4230","BUSINESS TRAV - OTHER EXPENSES",100
808,"2021","Approved Budget","1 - Toronto Police Service","Corporate Support Command","Corporate Support Command","Corporate Support Command","Corporate Support Command","Services","4255","CONFERENCES/SEMINARS - OTHER EXPENSES",5600
809,"2021","Approved Budget","1 - Toronto Police Service","Human Resources Command","Corporate Risk Management","Corporate Risk Management","Professional Standards","Premium Pay","1583","CIVILIAN CALLBACK",3400
810,"2021","Approved Budget","1 - Toronto Police Service","Corporate Support Command","Operations Support","Records Management Services","Information Access","Revenues","8543","LOST/STOLEN PASSPORT FEES",-15000
811,"2021","Approved Budget","1 - Toronto Police Service","Corporate Support Command","Operations Support","Operations Support","Facilities Management","Services","4419","LAUNDRY SERVICES",600
812,"2021","Approved Budget","1 - Toronto Police Service","Corporate Support Command","Corporate Support Command","Corporate Support Command","Corporate Support Command","Services","4760","MEMBERSHIP FEES",1400
813,"2021","Approved Budget","1 - Toronto Police Service","Corporate Support Command","Corporate Support Command","Corporate Support Command","Corporate Support Command","Services","4811","WIRELESS TELECOMMUNICATIONS SERVICES",1100
